feature,importance
voltage_v_past_mean_4,31.62956019665421
voltage_v,8.483507505619963
region_customer,7.826747154016162
region,5.484890385050896
voltage_drop_from_232,5.3895040835549315
hour_cos,3.929268181069889
hour,3.554978464463281
customer_type,3.4929776506220525
humidity_pct_past_mean_4,2.9045376556586397
temperature_delta_1,2.1817818219062675
humidity_pct,2.149389822451204
customer_hour,2.061711827914118
voltage_v_lag_1,2.041781134709385
temperature_distance_20,1.837790291073726
humidity_pct_lag_1,1.7646617849619168
elapsed_days,1.7500776622105565
temperature_c_past_mean_4,1.658242079689509
voltage_delta_1,1.6507663933701888
temperature_c,1.5776519427850217
dayofweek,1.487291673912063
humidity_delta_1,1.4536531846108336
temperature_distance_20_sq,1.2636709471769068
temperature_c_lag_1,1.1742777186706157
dayofweek_sin,1.100925513494326
planned_maintenance,0.6066050347994749
hour_sin,0.5856394409995999
is_weekend,0.5031382652103183
dayofweek_cos,0.45014605542016284
temperature_c_lag_1_missing,0.004463124268394244
humidity_pct_lag_1_missing,0.00036300365541128924
month,0.0
humidity_pct_missing,0.0
voltage_v_missing,0.0
voltage_v_lag_1_missing,0.0
