row_id,timestamp,meter_id,region,customer_type,planned_maintenance,consumption_kwh,prediction,is_validated,fold,error,residual,abs_error,squared_error,hour,dayofweek,is_weekend,consumption_band
R0001252,2026-01-18 06:00:00,M010,south,commercial,1,34.02835060362835,69.20343004178939,True,1,35.17507943816104,-35.17507943816104,35.17507943816104,1237.2862134809398,6,6,1,Q1
R0001162,2026-01-17 00:00:00,M010,south,commercial,0,42.82725131934396,71.60677485545422,True,1,28.77952353611026,-28.77952353611026,28.77952353611026,828.2609749655245,0,5,1,Q1
R0001363,2026-01-19 18:00:00,M013,south,commercial,0,100.9079808493714,72.1459277593157,True,1,-28.7620530900557,28.7620530900557,28.7620530900557,827.2556979551828,18,0,0,Q5
R0001759,2026-01-25 06:00:00,M013,south,commercial,0,81.28000071138423,52.5319338572489,True,1,-28.74806685413533,28.74806685413533,28.74806685413533,826.4513478498345,6,6,1,Q3
R0001415,2026-01-20 12:00:00,M011,east,industrial,0,92.79405343960268,64.36809153626051,True,1,-28.42596190334217,28.42596190334217,28.42596190334217,808.0353101302604,12,1,0,Q4
R0001849,2026-01-26 12:00:00,M013,south,commercial,0,100.02116570397972,71.71910926946184,True,1,-28.30205643451788,28.30205643451788,28.30205643451788,801.0063984226349,12,0,0,Q5
R0002693,2026-02-07 06:00:00,M011,east,industrial,0,112.73673934312356,85.13949442971762,True,2,-27.597244913405945,27.597244913405945,27.597244913405945,761.6079268105103,6,5,1,Q5
R0001746,2026-01-25 06:00:00,M000,north,residential,0,99.84464025215172,72.3686174018384,True,1,-27.476022850313313,27.476022850313313,27.476022850313313,754.9318316709393,6,6,1,Q5
R0001114,2026-01-16 06:00:00,M016,south,commercial,0,49.05040063593605,76.43533161701478,True,1,27.384930981078732,-27.384930981078732,27.384930981078732,749.9344448384458,6,4,0,Q1
R0002971,2026-02-11 06:00:00,M001,south,commercial,0,54.68490717024129,81.79769098314122,True,2,27.112783812899934,-27.112783812899934,27.112783812899934,735.1030460850487,6,2,0,Q1
R0001741,2026-01-25 00:00:00,M013,south,commercial,0,78.97206796559738,52.08134640970852,True,1,-26.890721555888852,26.890721555888852,26.890721555888852,723.1109057963454,0,6,1,Q3
