feature,importance
meter_id,41.201645410365174
voltage_v_past_mean_4,8.214258679502871
customer_hour,7.830195829011767
region,6.75634007084107
voltage_v,4.860744569344085
region_customer,4.8549530449332385
hour_cos,3.6931127285876415
hour,3.0435892295701663
planned_maintenance,2.9083483894022613
customer_type,2.723375866520886
voltage_drop_from_232,1.9899519191868569
temperature_distance_20,1.751506287320896
temperature_distance_20_sq,1.734476415183672
temperature_c,1.1527212825842488
voltage_v_lag_1,1.0349892880159413
dayofweek,0.8928845316556724
is_weekend,0.8189973376883012
dayofweek_sin,0.7683529309504619
elapsed_days,0.7302232844174261
temperature_delta_1,0.6837663717295103
temperature_c_past_mean_4,0.40887569259515527
humidity_pct_lag_1,0.3233864172599516
hour_sin,0.302261157109024
humidity_pct_past_mean_4,0.2915566439635057
meter_hour,0.21417814398235627
humidity_delta_1,0.1874310175211501
humidity_pct,0.1848741598017678
temperature_c_lag_1,0.14525141116520957
voltage_delta_1,0.14469712636754684
dayofweek_cos,0.08206897024946391
month,0.07064376988932726
humidity_pct_missing,0.0003017225576972771
voltage_v_lag_1_missing,4.030072569644015e-05
humidity_pct_lag_1_missing,0.0
voltage_v_missing,0.0
temperature_c_lag_1_missing,0.0
